keyword,volume,kd,cpc,organic_traffic,current_position,intents
"wrongful death litigation",1700,31,13.66,0,3,"Informational"
"lawyer for wrongful death",1000,0,4.03,0,5,"Informational;Commercial"
"lawyers for wrongful death",800,0,4.03,0,7,"Informational;Commercial;Transactional"
"wrongful termination settlement calculator",700,2,1.85,0,44,"Informational"
"wrongful death settlements",500,0,1.72,72,1,"Informational"
"wrongful death settlement",500,6,1.72,23,1,"Informational"
"wrongful death settlement calculator",350,0,2.37,126,1,"Informational"
"wrongful death lawsuit payout",350,1,5.05,31,1,"Informational"
"average wrongful death settlement",300,1,5.35,125,1,"Informational"
"best wrongful death lawyers near me",300,3,0.81,0,3,"Informational;Commercial"
"average wrongful death settlement georgia",250,1,3.41,31,3,"Informational"
"hospital wrongful death lawsuit settlements",250,1,3.01,23,1,"Informational"
"wrongful death lawyer philadelphia",250,2,8.15,0,5,"Informational"
"wrongful death settlement amounts",200,1,0.25,70,1,"Informational"
"what is the average payout in a wrongful death suit",200,2,2.34,25,1,"Informational"
"car accident wrongful death settlements",200,2,2.59,18,4,"Informational"
"wrongful death lawyer pasadena",200,1,,0,6,"Informational;Transactional"
"wrongful death action",200,43,10.28,0,4,"Informational"
"wrongful death settlement average",150,2,3.25,56,1,"Informational"
"wrongful death lawsuit settlements",150,2,4.37,51,1,"Informational"
"how much is a wrongful death lawsuit worth",150,0,2.50,19,1,"Informational"
"wrongful death insurance payout",150,0,2.52,16,4,"Informational"
"hospital wrongful death settlements",150,0,3.30,15,3,"Informational;Commercial"
"wrongful death medical malpractice settlements",150,1,2.06,8,6,"Informational"
"compensation for wrongful death",150,1,2.96,8,1,"Informational"
"wrongful death compensation",150,30,2.96,0,1,"Informational"
"average payout for medical negligence resulting in death",150,1,3.75,0,1,"Informational"
"how much can you sue for wrongful death",100,0,1.82,42,1,"Informational"
"average wrongful death settlement california",100,1,5.67,14,4,"Informational"
"how much does a wrongful death lawsuit pay",100,2,4.97,13,3,"Informational"
"who pays for a wrongful death lawsuit",100,1,,10,4,"Informational"
"damages for wrongful death",100,30,4.37,6,7,"Informational"
"wrongful death hospital settlement",90,2,5.69,10,4,"Informational;Commercial"
"wrongful death lawyer sarasota",90,0,,0,4,"Informational"
"wrongful death car accident settlement",80,2,4.84,30,1,"Informational;Commercial"
"how much are wrongful death settlements",80,1,2.13,30,1,"Informational"
"how to calculate wrongful death damages",70,0,,26,1,"Informational"
"average wrongful death settlement illinois",70,0,,24,1,"Informational"
"average settlement for wrongful death",70,1,3.79,11,2,"Informational"
"what is the average settlement for wrongful death",70,1,,10,2,"Informational"
"wrongful death attorney baltimore md",70,0,0.21,0,7,"Informational;Commercial"
"how to file wrongful death lawsuit",70,0,4.94,0,2,"Informational"
"settlement for wrongful death",60,2,2.41,23,1,"Informational;Commercial"
"average payout for accidental death",60,6,1.83,22,2,"Informational"
"highest wrongful death payout",60,3,2.70,9,2,"Informational"
"wrongful death settlements car accidents",60,6,16.24,7,3,"Informational"
"typical wrongful death settlement",60,1,6.53,5,3,"Informational"
"accidental death lawyers near me",60,3,20.92,0,2,"Informational;Commercial"
"wrongful death lawsuit how much money",50,2,10.62,17,2,"Informational"
"wrongful death lawsuit settlements average in arizona",50,0,,5,3,"Informational"
"wrongful death lawyer cecil county",50,0,,0,11,"Informational;Commercial;Transactional"
"how much can you get from a wrongful death lawsuit",50,1,,0,1,"Informational"
"wrongful death malpractice lawsuit",50,2,5.99,0,3,"Informational"
"lawsuit settlement after death",40,3,3.09,4,3,"Informational"
"wrongful death lawsuit payouts",40,3,0.00,4,3,"Informational"
"average wrongful death settlement ohio",40,0,0.97,4,4,"Informational"
"average payout for wrongful death",30,2,3.25,6,1,"Informational"
"wrongful death lawsuit settlement amounts",30,1,,4,2,"Informational"
"how much can you get for wrongful death",30,3,,4,3,"Informational"
"wrongful death lawsuit settlements average",30,3,0.47,3,2,"Informational"
"wrongful death vs manslaughter",30,0,,0,3,"Informational"
"death settlement",30,1,1.91,0,1,"Informational"
"what is the average wrongful death settlement",20,0,1.24,8,1,"Informational"
"wrongful death calculator",20,0,1.63,8,1,"Informational"
"how much is the average wrongful death settlement",20,1,3.09,7,1,"Informational"
"how much for wrongful death lawsuit",20,3,1.92,7,1,"Informational"
"wrongful death lawsuit average settlement",20,2,3.36,3,2,"Informational"
"wrongful death suit payouts",20,0,3.31,2,1,"Informational"
"average wrongful death settlement michigan",20,0,1.42,1,8,"Informational"
"how much compensation for death",10,2,,2,1,"Informational"
"what is the average settlement for a wrongful death lawsuit",10,2,1.72,2,1,"Informational"
"how does a wrongful death settlement work",10,5,1.46,1,4,"Informational"
"how much is wrongful death worth",10,2,1.78,1,2,"Informational"
"medical malpractice resulting in death settlement amounts",10,6,,1,6,"Informational"
"medical malpractice death payout",10,5,,0,1,"Informational"
"average settlement for malpractice death",0,4,2.42,1,1,"Informational"
"how much do wrongful death lawsuit worth",0,2,3.37,1,2,"Informational"
"wrongful death settlement amounts in texas",0,0,2.43,0,7,"Informational"
"wrongful death compensation formula",0,0,,0,1,"Informational"
"wrongful death settlement calculator california",0,0,4.66,0,1,"Informational"
