rank,type,domain,url,page_type,dr,ur,backlinks,referring_domains,words,traffic,traffic_value,keywords,top_keyword,title
1,Organic,roblevine.com,https://roblevine.com/injury-calculator/,Tool>Calculator,45,9,14,4,3086,6793,19564,360,personal injury settlement calculator,"Personal Injury Calculator - How Much Is Your Case Worth?"
3,Organic,shookandstone.com,https://www.shookandstone.com/personal-injury-settlement-calculator/,Tool>Calculator,34,12,41,26,2491,2058,5042,242,settlement calculator,"Calculator for Personal Injury Settlements | Shook & Stone"
4,Organic,setcalc.com,https://setcalc.com/,Tool>Calculator,2,5,290,274,1286,4039,14111,227,realistic settlement calculator,"AI Settlement Calculator for Car Accident Injuries - SetCalc"
5,Organic,scheuermanlaw.com,https://www.scheuermanlaw.com/lawsuit-settlement-calculator/,,19,4,0,0,2486,147,321,37,lawsuit calculator,"Lawsuit Settlement Calculator"
6,Organic,leahwiselaw.com,https://leahwiselaw.com/blog/personal-injury-settlement-calculator-texas,,20,4,0,0,1063,195,417,40,personal injury attorney fee calculator,"Texas Personal Injury Settlement Calculator"
7,Organic,lambergoodnow.com,https://lambergoodnow.com/injury-calculator/,Tool>Calculator,53,11,17,9,3651,1021,4426,216,case connect compensation calculator,"Personal Injury Calculator - What's My Case Worth?"
8,Organic,dubolawfirm.com,https://dubolawfirm.com/personal-injury-case-value-calculator/,Site page>Home,14,4,2,1,41,781,2110,85,personal injury calculator,"Personal Injury Case Value Calculator"
9,Organic,jgonzalezlawfirm.com,https://jgonzalezlawfirm.com/car-settlement-calculator/,Tool>Calculator,19,8,2,2,4014,364,1125,62,realistic settlement calculator,"Car Settlement Calculator - McAllen"
10,Organic,lehmlaw.com,https://lehmlaw.com/personal-injury-calculator,,36,6,35,27,2899,1388,4027,86,injury settlement calculator,"Personal Injury Settlement Calculator in Washington"
11,Organic,theinjurylawyers.com,https://www.theinjurylawyers.com/realistic-personal-injury-settlement-calculator-estimate-personal-injury-settlement-bodily-injury-settlement-calculator/,Tool>Calculator,34,4,4,3,5747,324,984,59,realistic settlement calculator,"Case Value Calculator: Personal Injury Settlement Calculator"
13,Organic,richardhollawell.com,https://www.richardhollawell.com/new-jersey-personal-injury-calculator-how-much-is-my-case-worth/,,,,,,0,59,185,12,realistic settlement calculator,"NJ Personal Injury Calculator: Free Case Consultation"
14,Organic,kermanillp.com,https://www.kermanillp.com/personal-injury-settlement-calculator,,0,10,0,0,2103,136,342,54,realistic settlement calculator,"Free Personal Injury Accident Settlement Calculator"
15,Organic,gunterinjurylaw.com,https://gunterinjurylaw.com/auto-settlement-calculator/,Tool>Calculator,8,4,7,6,1694,3973,13341,123,car accident settlement calculator,"Auto Settlement Calculator"
16,Organic,fairsettlement.org,https://fairsettlement.org/states/texas,,,,,,0,34,10,accident compensation calculator,"AI-Powered Texas Personal Injury Settlement Calculator"
17,Organic,sallymorinlaw.com,https://www.sallymorinlaw.com/personal-injury-settlement-calculator/,,0,4,0,0,2584,37,207,32,bicycle accident compensation calculator,"Personal Injury Settlement Calculator | Sally Morin Law"
18,Organic,goodnowmckay.com,https://goodnowmckay.com/legal-resources/personal-injury-settlement-calculator/,Organic,0,7,0,0,493,0,0,1,personal injury settlement calculator,"Personal Injury Settlement Calculator"
19,Organic,alllaw.com,https://www.alllaw.com/articles/nolo/personal-injury/calculator.html,,74,5,616,166,2750,919,2707,140,personal injury claim calculator,"Calculate Your Personal Injury Settlement Value"
20,Organic,conduit.law,https://conduit.law/settlement-calculator,,0,7,0,0,1433,215,726,41,accident claim calculator,"Auto Accident Settlement Calculator | Free, No Email"
24,Organic,brafflawfirm.com,https://brafflawfirm.com/personal-injury-claim-value-calculator/,Tool>Calculator,8,42,4,1,8013,39,122,23,multiple injury compensation calculator,"Personal Injury Claim Value Calculator - Get a Case Estimate"
26,Organic,calculatemycase.com,https://calculatemycase.com/,Tool>Calculator,25,6,389,273,1139,40,195,20,how much is my case worth,"Personal Injury"
27,Organic,feherlawfirm.com,https://feherlawfirm.com/calculators/personal-injury-settlement-calculator/,Tool>Calculator,27,6,3,3,4686,28,57,53,settlement calculator free,"Free California Personal Injury Settlement Calculator (2026)"
28,Organic,porcarolaw.com,https://porcarolaw.com/car-accident-settlement-calculator/,Tool>Calculator,9,4,15,8,3892,370,1337,63,how much is my car accident worth,"Florida Car Accident Settlement Calculator"
29,Organic,hellandlawgroup.com,https://www.hellandlawgroup.com/personal-injury-calculator,Article>Guide,6,4,6,6,1610,37,68,17,personal injury pain and suffering calculator,"Personal Injury Calculator"
40,Organic,palermolawyers.com,https://palermolawyers.com/settlement-calculator/,Tool>Calculator,9,28,8,1,976,0,1,9,slip and fall settlement calculator,"Personal Injury Settlement Calculator"
43,Organic,thepearcelawfirm.com,https://thepearcelawfirm.com/pain-and-suffering-calculator/,,32,5,9,6,2734,124,363,36,pain suffering calculator,"Pain and Suffering Calculator for Car Accidents (Free)"
44,Organic,mehtamcconnell.com,https://mehtamcconnell.com/blog/average-personal-injury-settlement-calculator/,,15,4,2,2,1666,1,6,5,pain and suffering calculator nc,"Personal Injury Settlement Calculator | NC (2026 Guide)"
50,Organic,legesgpt.com,https://www.legesgpt.com/tools/personal-injury-settlement-calculator,Tool>Calculator,35,6,38,17,1126,0,0,4,realistic settlement calculator,"Personal Injury Settlement Calculator"
