rank,type,domain,url,page_type,dr,referring_domains,words,traffic,traffic_value,top_keyword,title
2,Organic,scheuermanlaw.com,https://www.scheuermanlaw.com/pain-and-suffering-calculator/,Tool>Calculator,19,3,3618,2201,7635,pain and suffering calculator,"Pain And Suffering Calculator"
4,Organic,braunslaw.com,https://braunslaw.com/blog/pain-and-suffering-calculator/,Tool>Calculator,39,1,3013,439,1321,emotional pain and suffering calculator,"Progressive Emotional Pain and Suffering Calculator in Georgia"
5,Organic,setcalc.com,https://setcalc.com/,Tool>Calculator,2,279,1286,4039,14111,realistic settlement calculator,"AI Settlement Calculator for Car Accident Injuries - SetCalc"
6,Organic,dubolawfirm.com,https://dubolawfirm.com/personal-injury-case-value-calculator/,Site page>Home,14,1,41,781,2110,personal injury calculator,"Personal Injury Case Value Calculator"
7,Organic,roblevine.com,https://roblevine.com/injury-calculator/,,45,4,0,6793,19564,personal injury settlement calculator,"Personal Injury Calculator - How Much Is Your Case Worth?"
8,Organic,millerandzois.com,https://www.millerandzois.com/car-accidents/how-to-calculate-pain-and-suffering-damages/,Article>How-to,54,8,4534,70,217,how much is pain and suffering worth,"Pain and Suffering Calculator"
9,Organic,chappell.law,https://www.chappell.law/personal-injury-resources/pain-and-suffering-calculator/,Article>How-to,17,2,1108,40,85,pain suffering calculator,"South Carolina Pain and Suffering Calculator"
10,Organic,houlonberman.com,https://www.houlonberman.com/blog/progressive-pain-and-suffering-calculator/,Tool>Calculator,45,2,2673,86,275,progressive pain and suffering calculator,"Progressive Pain and Suffering Calculator"
12,Organic,thepearcelawfirm.com,https://thepearcelawfirm.com/pain-and-suffering-calculator/,,32,6,2734,124,364,pain suffering calculator,"Pain and Suffering Calculator for Car Accidents (Free)"
13,Organic,shookandstone.com,https://www.shookandstone.com/personal-injury-settlement-calculator/,Tool>Calculator,34,26,2491,2058,5042,settlement calculator,"Calculator for Personal Injury Settlements | Shook & Stone"
16,Organic,munley.com,https://munley.com/pain-and-suffering-calculator/,Tool>Calculator,64,1,2682,17,39,pain and suffering settlement calculator,"Pain and Suffering Calculator"
19,Organic,friedlrichardson.com,https://www.friedlrichardson.com/pain-and-suffering-calculator/,Tool>Calculator,11,2,1856,56,140,emotional pain and suffering calculator,"Pain and Suffering Calculator"
20,Organic,feherlawfirm.com,https://feherlawfirm.com/calculators/pain-and-suffering-calculator/,Article>Guide,27,1,4069,20,23,emotional distress calculator,"Free Emotional Pain and Suffering Calculator in California"
25,Organic,patricktoscano.com,https://patricktoscano.com/free-pain-and-suffering-calculator/,Article>Guide,13,1,1546,14,38,pain and suffering calculator texas,"Free Pain and Suffering Calculator"
27,Organic,aica.com,https://aica.com/car-accident-pain-and-suffering-calculator/,,52,0,2346,0,0,pain and suffering calculator,"Car Accident Pain and Suffering Calculator"
29,Organic,d2law.com,https://d2law.com/pain-and-suffering-calculator-how-to-calculate-your-settlement-amount-2/,Article>How-to,38,16,2397,4,20,car accident pain and suffering calculator,"Pain and Suffering Calculator: How To Calculate Your Settlement"
30,Organic,calculatemycase.com,https://calculatemycase.com/,Tool>Calculator,25,278,1139,40,196,how much is my case worth,"CalculateMyCase.com - Find Out How Much Your Personal Injury"
40,Organic,lawlinq.com,https://www.lawlinq.com/pain-and-suffering-calculator-california/,Tool>Calculator,28,1,1666,0,0,pain and suffering calculator,"Free California Pain and Suffering Calculator (90 Second)"
42,Organic,westcoasttriallawyers.com,https://westcoasttriallawyers.com/personal-injury-calculator,Tool>Calculator,57,3,1618,0,0,pain and suffering calculator,"Personal Injury Calculator"
47,Organic,painworth.com,https://www.painworth.com/,Site page>Services,30,331,920,19,69,injury lawyer calculator,"Painworth: Calculate & Settle Your Personal Injury Claims"
50,Organic,fairsettlement.org,https://fairsettlement.org/,Organic,11,86,,140,510,car accident calculator,"Free Personal Injury Settlement Calculator (2026 AI Model)"
