Page,URL,Type,Target keyword,KD,US volume,Traffic potential,CPS,CPC,Form / engine,Status,Deployed,Indexed,Content references,Notes
Home (hub),https://tryballpark.com/,Hub,,,,,,,hub,Live,Yes,Yes,,Lists all calculators; hub-and-spoke interlinking.
Personal Injury Settlement Calculator,https://tryballpark.com/personal-injury-settlement-calculator,Tool,personal injury settlement calculator,7,900,4800,1.35,3.00,settlement,Live,Yes,Yes,"roblevine, shookandstone, setcalc, alllaw/nolo, gunterinjurylaw",KD 7. Simple/Advanced settlement form. No-fault gating + state fault rules.
Pain and Suffering Calculator,https://tryballpark.com/pain-and-suffering-calculator,Tool,pain and suffering calculator,3,1200,2200,1.42,4.00,painSuffering,Live,Yes,Yes,"scheuermanlaw, setcalc guide, millerandzois, munley","KD 3. Bespoke multiplier + per-diem toggle, permanence factor."
Car Accident Settlement Calculator,https://tryballpark.com/car-accident-settlement-calculator,Tool,car accident settlement calculator,,,,,,carAccident,Live,Yes,Yes,"gunterinjurylaw, setcalc car guide",Metrics TBD (no Ahrefs export yet). Bespoke insurance policy-limit cap + vehicle damage.
Dog Bite Settlement Calculator,https://tryballpark.com/dog-bite-settlement-calculator,Tool,dog bite settlement calculator,0,450,350,,3.00,dogBite,Live,Yes,Yes,"scheuermanlaw, lehmlaw, roblevine, mkplawgroup","KD 0. Bespoke engine: strict-liability vs one-bite state rule, scarring/facial/child premiums, provocation/trespassing defenses. Live since 2026-07-09."
Truck Accident Settlement Calculator,https://tryballpark.com/truck-accident-settlement-calculator,Tool,truck accident settlement calculator,1,100,60,,6.00,truckAccident,Live,Yes,Yes,"conduit.law, ganimlegal, shookandstone, setcalc",KD 1. Reuses settlement engine + commercial policy ceiling by carrier type (FMCSA minimums). Live since 2026-07-09.
Workers Comp Settlement Calculator,https://tryballpark.com/workers-comp-settlement-calculator,Tool,workers comp settlement calculator,1,900,1400,1.59,2.00,workersComp,Live,Yes,Yes,"amicusplanners, edgarsnyder, riccilawnc, bellalawoffices","KD 1, highest volume (900, TP 1.4K). Novel no-fault engine: 2/3 wage + PPD impairment rating + medical, no pain and suffering. Live since 2026-07-09."
Neck and Back Injury Settlement Calculator,https://tryballpark.com/neck-injury-settlement-calculator,Tool,neck injury settlement calculator,2,300,1900,,3.00,neckInjury,Live,Yes,Yes,"mileylegal (702-case study), gjel, castellilaw, lawlinq","KD 2. Low direct volume (300) but TP 1.9K: the #1 page is a broad neck+back ARTICLE with no calculator. Engine driven by diagnosis + surgery status + disc levels. Gap: 'back injury settlement without surgery' (1,800, KD 0). H1 calculator-first; big informational keywords as exact-match H2s. Disc keywords deliberately carved out to the herniated-disc page (no cannibalization). Competitor kw export: data/keywords/neck-injury-mileylegal-keywords.csv."
Wrongful Death Settlement Calculator,https://tryballpark.com/wrongful-death-settlement-calculator,Tool,wrongful death settlement calculator,0,400,1400,1.13,2.50,wrongfulDeath,Live,Yes,Yes,"scheuermanlaw (6438w #1), jjsjustice, haffnerlawyers, vazirilaw","KD 0, TP 1.4K, value $3.5K. Novel engine: present-value discounting (2% net real) + personal-consumption deduction, so $60k x 25yrs = $913,698 not $1.5M. No competitor does either. Plus household services at replacement cost, punitive uplift, contributory-negligence bar, insurance cap. 19 tests. Competitor kw export: data/keywords/wrongful-death-scheuermanlaw-keywords.csv."
Herniated Disc Settlement Calculator,https://tryballpark.com/herniated-disc-settlement-calculator,Tool,herniated disc settlement calculator,1,100,1000,1.05,1.30,neckInjury (reused),Live,Yes,Yes,"millerandzois (172 bl), setcalc, gjel, feherlawfirm","KD 1, TP 1.0K. SPLIT from the neck page per operator decision: disc page owns bulging-vs-herniated, 1/2/3 discs, discectomy-vs-fusion, C4-C5/C5-C6/C6-C7/L4-L5/L5-S1, and 'how much is 2 herniated disc settlement' (800). Those H2s were REMOVED from the neck page; the two cross-link. Reuses the tested neckInjury engine, no new math."
Medical Malpractice Settlement Calculator,https://tryballpark.com/medical-malpractice-settlement-calculator,Tool,medical malpractice settlement calculator,5,250,300,1.30,1.80,medMalpractice,Live,Yes,Yes,"amicusplanners (thin 949w #1), millerandzois, pamedmal, theknowlesgroup","KD 5. Angle: ORIGINAL medical cost (the condition you already had) is EXCLUDED from damages, only the ADDITIONAL harm the negligence caused is compensable. Shows NET after the contingency fee. Flags state non-economic caps. 12 tests."
Brain Injury Settlement Calculator,https://tryballpark.com/brain-injury-settlement-calculator,Tool,brain injury settlement calculator,0,150,4500,,1.70,brainInjury,Live,Yes,Yes,"roblevine, gjel, biausa.org, barzakaylaw, feherlawfirm","KD 0. CAVEAT: the 4.5K traffic potential is inflated because the #1 result is roblevine's GENERIC PI calculator (6,706 traffic), not a TBI page. Real TBI terms are small. Engine: severity + LOC duration + objective imaging + permanent cognitive deficit, clamped 1.5-10x. 13 tests."
Camp Lejeune Settlement Calculator,https://tryballpark.com/camp-lejeune-settlement-calculator,Tool,camp lejeune settlement calculator,,200-300 (est),,,,campLejeune,Live,Yes,Yes,"DOJ/Navy Public Guidance (primary source), justice.gov CLJA page","No Ahrefs volume (operator estimates 200-300/mo). NOT an estimator: returns the EXACT published DOJ/Navy Elective Option amount (Tier 1 150k/300k/450k, Tier 2 100k/250k/400k, +100k death, max 550k) and refuses to show any figure when an eligibility gate fails. Leads with the fact that the filing deadline PASSED on 2024-08-10. Also shows net after the statutory 20%/25% FTCA attorney fee cap, which most competitor pages hide. 16 tests. No trustBadge (deliberate)."
