rank,type,domain,url,page_type,dr,referring_domains,words,traffic,traffic_value,top_keyword,title,notes
1,Organic,amicusplanners.com,https://amicusplanners.com/medical-malpractice-settlement-calculator,,33,0,949,235,223,medical malpractice settlement calculator,,"UR4; 0 backlinks; 11 kw"
2,Organic,mileylegal.com,https://mileylegal.com/medical-malpractice/,Tool>Calculator,32,3,1619,226,105,medical negligence calculator,,"UR4; 4 backlinks; 12 kw"
3,Organic,scheuermanlaw.com,https://scheuermanlaw.com/pain-and-suffering-calculator/,Tool>Calculator,19,3,3618,2143,7600,pain and suffering calculator,,"UR4; 4 backlinks; 81 kw"
4,Organic,pamedmal.com,https://pamedmal.com/how-are-malpractice-settlements-calculated/,Article>How-to,24,1,4411,52,85,medical malpractice settlement calculator,,"UR4; 1 backlink; 12 kw"
5,Organic,millerandzois.com,https://millerandzois.com/medical-malpractice/medical-malpractice-settlement-worth/,Article>Definition,54,22,4119,421,834,medical negligence settlement amounts,,"UR10; 267 backlinks; 105 kw"
6,Organic,stanleylawoffices.com,https://stanleylawoffices.com/what-is-my-case-worth/,,37,0,2669,23,40,medical malpractice settlement calculator,,"UR4; 0 backlinks; 7 kw"
7,Organic,shookandstone.com,https://shookandstone.com/personal-injury-settlement-calculator/,Tool>Calculator,34,26,2491,1859,5300,bodily injury claim calculator,,"UR12; 41 backlinks; 242 kw"
8,Organic,dubolawfirm.com,https://dubolawfirm.com/personal-injury-case-value-calculator/,Site page,14,1,41,821,2200,bodily injury claim calculator,,"UR4; 2 backlinks; 88 kw"
9,Organic,dko-law.com,https://dko-law.com/blog/medical-malpractice-settlement-calculator/,,10,1,2577,9,13,medical malpractice settlement calculator,,"UR4; 2 backlinks; 2 kw"
10,Organic,theknowlesgroup.org,https://theknowlesgroup.org/blog/calculating-medical-malpractice-settlement-damages/,Article>Guide,26,23,1931,225,508,malpractice settlement amounts,,"UR5; 82 backlinks; 35 kw"
