rank,type,domain,url,page_type,dr,referring_domains,words,traffic,traffic_value,top_keyword,title,notes
1,Organic,mileylegal.com,https://mileylegal.com/neck-and-back-injury-settlement-amounts/,Article>Research,32,53,6373,2797,5100,average settlement for car accident back and neck injury,,"UR5; 87 backlinks; 242 kw"
2,Organic,braunslaw.com,https://braunslaw.com/blog/neck-injury-settlement-calculator/,,38,0,0,59,162,neck injury settlement calculator,"Free Neck Injury Claim Calculator in Georgia","UR10; 0 backlinks; 3 kw"
3,Organic,ganimlegal.com,https://ganimlegal.com/blog/neck-injury-settlement-calculator/,,3,0,3338,38,108,neck injury settlement calculator,"Free Neck Injury Settlement Calculator in Connecticut","UR6; 0 backlinks; 3 kw"
4,Organic,gjel.com,https://gjel.com/california-broken-neck-injury-lawyer/settlement-calculator/,,51,0,0,28,79,neck injury settlement calculator,"Broken Neck Injury Settlement Calculator","UR0; 0 backlinks; 1 kw"
5,Organic,jminjurylawyer.com,https://jminjurylawyer.com/personal-injury/pennsylvania-neck-injury-settlement-calculator-estimate-your-claim/,,33,1,0,22,63,neck injury settlement calculator,,"UR0; 1 backlink; 1 kw"
6,Organic,roblevine.com,https://roblevine.com/injury-calculator/,,45,4,0,6706,20500,bodily injury claim calculator,"Personal Injury Calculator - How Much Is Your Case Worth?","UR9; 14 backlinks; 361 kw"
7,Organic,shookandstone.com,https://shookandstone.com/personal-injury-settlement-calculator/,Tool>Calculator,34,26,2491,1859,5300,bodily injury claim calculator,,"UR12; 41 backlinks; 242 kw"
8,Organic,richardhollawell.com,https://richardhollawell.com/new-jersey-personal-injury-calculator-how-much-is-my-case-worth/,,11,,0,74,217,bodily injury claim calculator,,"UR0; 12 kw"
9,Organic,castellilaw.com,https://castellilaw.com/blog/average-settlement-amount-for-a-neck-injury/,Article>FAQ,21,16,5457,10,30,neck injury settlement calculator,,"UR4; 21 backlinks; 5 kw"
10,Organic,lawlinq.com,https://lawlinq.com/neck-injury-settlement-calculator-california/,Tool>Calculator,28,1,1155,7,21,neck injury settlement calculator,,"UR4; 2 backlinks; 1 kw"
