keyword,volume,kd,cpc,current_traffic,current_position,intents
"average settlement for car accident back and neck injury",3900,3,,1014,2,"Informational"
"back injury settlement without surgery",1800,0,2.69,70,9,"Informational"
"how much is 2 herniated disc settlement",800,1,2.30,2,21,"Informational"
"c4-c5 herniated disc settlement",700,1,2.65,35,8,"Informational"
"paralysis injury lawyer",700,0,0.15,0,,"Informational"
"spinal injury lawyers",600,1,,0,,"Informational"
"back and neck injury settlement without surgery",500,0,4.38,181,2,"Informational"
"cervical spine injury settlement amounts",500,1,3.97,56,4,"Informational"
"lower back pain car accident settlement",450,1,3.98,21,8,"Informational"
"l4-l5-s1 workers comp settlement",450,2,1.89,0,,"Informational"
"neck injury settlement without surgery",400,0,3.94,16,9,"Informational"
"spine injury lawyers",350,1,0.17,0,,"Informational"
"average settlement for herniated disc car accident",300,17,2.99,0,,"Informational"
"paraplegia attorneys duluth",300,0,,0,,"Informational"
"neck injury settlement calculator",250,2,2.83,59,2,"Informational;Commercial"
"back injury compensation",250,1,2.35,0,,"Informational;Commercial"
"neck surgery c5-c6-c7 settlement",250,1,3.88,14,6,"Informational;Commercial"
"2 level cervical fusion settlement workers' compensation",250,5,0.25,0,,"Informational"
"average payout for ankle injury with surgery",250,0,3.52,0,,"Informational"
"million dollar slip and fall settlements",250,0,2.82,0,1,"Informational"
"neck pain car accident settlement",200,3,3.53,70,2,"Informational;Commercial"
"pinched nerve in neck car accident settlement",200,0,5.74,14,7,"Informational;Commercial"
"back injury settlement calculator",200,7,2.69,11,7,"Informational;Commercial"
"spinal stenosis car accident settlement",200,0,2.74,4,11,"Informational"
"slip and fall injury settlement amounts",200,2,5.86,4,12,"Informational"
"negligence settlement amounts",200,3,6.51,0,,"Informational"
"6 months of physical therapy settlement",200,1,2.97,0,,"Informational"
"workers comp settlement back injury",200,0,1.87,0,,"Informational"
"herniated disc from car accident settlement",200,0,3.44,0,,"Informational"
"multiple bulging discs settlements",200,1,3.80,0,,"Informational"
"neck and back pain after car accident",200,11,5.71,0,2,"Informational"
"back injury claim",200,0,5.77,0,1,"Informational"
"back injury car accident compensation",150,1,6.19,48,1,"Informational"
"back injury car accident settlement",150,4,3.67,33,1,"Informational"
"what is the average workers' comp neck injury settlement",150,2,1.69,16,5,"Informational"
"spinal stenosis settlement amounts",150,0,4.56,13,5,"Informational"
"neck injury car accident settlement",150,2,3.23,11,4,"Informational"
"workers comp settlements for neck injuries",150,0,1.82,10,5,"Informational"
"average settlement for spinal cord injury",150,0,2.57,8,6,"Informational"
"average settlement for discectomy",150,2,1.73,8,6,"Informational"
"what is the average workers comp back injury settlement",150,0,1.56,7,6,"Informational"
"average car accident settlement colorado",150,0,3.64,7,8,"Informational"
"lower back injury settlement amount workers' compensation",150,0,1.76,6,7,"Informational"
"how much is 3 herniated disc settlement",150,1,,4,9,"Informational"
"lower back injury settlement amount workers compensation",150,0,1.77,3,11,"Informational"
"average payout for back injury at work",150,0,2.74,0,,"Informational"
"car accident hit from behind settlement",150,0,8.14,0,,"Informational"
"car accident lawsuit settlement average",150,4,4.64,0,,"Informational"
"rear-end personal injury settlements",150,0,3.61,0,,"Informational"
"bulging disc settlement calculator",150,0,3.13,0,,"Informational"
"back injuries lawyer",150,0,20.92,0,,"Informational;Commercial"
"car accident back injury settlement",100,2,3.67,40,1,"Informational"
"spinal injury car accident settlement",100,0,3.35,36,1,"Informational"
"back injury compensation amounts",100,0,,34,1,"Informational"
"workers compensation neck injury settlement",100,0,1.63,14,3,"Informational"
"slip and fall back injury settlement amounts",100,2,2.88,12,3,"Informational"
"how much settlement for neck injury",100,0,1.60,9,4,"Informational"
"how much is a lumbar discectomy settlement",100,1,2.37,7,6,"Informational"
"cervical spine injury workers comp settlement",100,2,,7,8,"Informational"
"soft tissue back injury settlement amounts",100,0,2.96,7,6,"Informational"
"neck injury claims",100,0,,6,6,"Informational"
"cervical radiculopathy car accident settlement",100,0,6.89,5,8,"Informational"
